category_id,global_index,category_name,dl_idx,total_count,num_datasets,top_datasets
293,51,에트라빌10밀리그램정(아미트리프틸린염산염),293,1296,1,TL_21_단일(1296)
295,52,에트라빌25밀리그램정(아미트리프틸린염산염),295,1296,1,TL_21_단일(1296)
303,53,에이씰린캡슐 500mg,303,324,1,TL_21_단일(324)
316,54,구주스피로닥톤정(스피로노락톤),316,1296,1,TL_1_단일(1296)
322,55,아시원정 1g/병,322,216,1,TL_21_단일(216)
340,56,앰씰린캡슐 500mg,340,324,1,TL_21_단일(324)
344,57,알키록산정(시클로포스파미드정),344,1296,1,TL_21_단일(1296)
363,58,페리나정 25mg/PTP,363,1296,1,TL_1_단일(1296)
367,59,로프민캡슐(염산로페라미드),367,1296,1,TL_1_단일(1296)
369,60,신일비사코딜정 5mg/병 (수출용),369,1296,1,TL_21_단일(1296)
371,61,세가톤트로키 1.5mg/PTP,371,1296,1,TL_1_단일(1296)
381,62,인사돌정,381,216,1,TL_21_단일(216)
385,63,푸리노신정,385,216,1,TL_21_단일(216)
396,64,다이그린정,396,216,1,TL_21_단일(216)
398,65,부루펜정 200mg,398,216,1,TL_21_단일(216)
399,66,후시딘정(퓨시드산나트륨),399,1296,1,TL_1_단일(1296)
405,67,메네스정(베타히스틴메실산염),405,216,1,TL_21_단일(216)
431,68,액티페린정 60mg/PTP,431,216,1,TL_21_단일(216)
437,69,네오메디코푸정,437,1296,1,TL_1_단일(1296)
440,70,부루톤정 0.33g/병,440,216,1,TL_22_단일(216)
453,71,데카키논캡슐(유비데카레논캡슐),453,324,1,TL_22_단일(324)
459,72,사미온정(니세르골린),459,216,1,TL_22_단일(216)
464,73,유한피라진아미드정 500mg,464,1296,1,TL_1_단일(1296)
472,74,아디팜정(히드록시진염산염) ,472,1296,1,TL_22_단일(1296)
474,75,로파인캡슐(로페라미드염산염) ,474,324,1,TL_22_단일(324)
478,76,일양노이시린에이정(규산알루민산마그네슘),478,1296,1,TL_1_단일(1296)
480,77,쎄닐톤정 60mg/병 (수출용),480,1296,1,TL_1_단일(1296)
487,78,부광메티마졸정,487,1296,1,TL_1_단일(1296)
489,79,안티로이드정(프로필티오우라실),489,1296,1,TL_22_단일(1296)
491,80,프리마란정(메퀴타진),491,1296,1,TL_22_단일(1296)
509,81,메코민캡슐,509,324,1,TL_22_단일(324)
513,82,리나치올캡슐 375mg,513,324,1,TL_22_단일(324)
524,83,아코니발정 166mg/병,524,216,1,TL_22_단일(216)
550,84,유유알로푸리놀정,550,1296,1,TL_22_단일(1296)
567,85,마스질정(클레마스틴푸마르산염),567,216,1,TL_22_단일(216)
572,86,게보린정 300mg/PTP,572,1746,2,"TL_1_단일(1296), TL_1_조합(450)"
575,87,싸이메트정 300mg,575,1296,1,TL_1_단일(1296)
597,88,스파토민캡슐(염산디싸이클로민),597,324,1,TL_22_단일(324)
607,89,일동아목시실린수화물캡슐 250mg,607,324,1,TL_22_단일(324)
608,90,슈다페드정(슈도에페드린염산염),608,1296,1,TL_1_단일(1296)
645,91,메가세프캡슐 250mg,645,324,1,TL_22_단일(324)
646,92,메가세프캡슐 500mg,646,324,1,TL_22_단일(324)
649,93,베라드정 0.5g/PTP,649,1296,1,TL_1_단일(1296)
652,94,곰실린캡슐,652,324,1,TL_22_단일(324)
653,95,대웅프리미돈정,653,1296,1,TL_1_단일(1296)
656,96,포리부틴정(트리메부틴말레산염),656,216,1,TL_22_단일(216)
657,97,트렌탈서방정400(펜톡시필린),657,1296,1,TL_1_단일(1296)
671,98,뮤코론캡슐 375mg,671,1296,1,TL_1_단일(1296)
714,99,오로페롤연질캡슐100mg,714,324,1,TL_22_단일(324)
720,100,베노라제정 400mg/PTP,720,1296,1,TL_1_단일(1296)
729,101,헤르벤정(딜티아젬염산염),729,216,1,TL_22_단일(216)
730,102,베자립정,730,216,1,TL_22_단일(216)
740,103,트리세프캡슐,740,324,1,TL_22_단일(324)
741,104,테프라정 40mg,741,1296,1,TL_22_단일(1296)
743,105,아미로정(염산아미로라이드),743,1296,1,TL_22_단일(1296)
745,106,우루사정 100mg,745,1296,1,TL_1_단일(1296)
747,107,대웅세파록실캡슐,747,324,1,TL_22_단일(324)
748,108,베타록정(메토프롤롤타르타르산염),748,1296,1,TL_1_단일(1296)
759,109,보령듀리세프캡슐 500mg,759,324,1,TL_22_단일(324)
762,110,페리돌정 1.5mg,762,216,1,TL_22_단일(216)
773,111,유로세프캡슐 500mg,773,324,1,TL_22_단일(324)
778,112,스파부틴정 100mg,778,1296,1,TL_1_단일(1296)
797,113,현대테놀민정(아테놀롤),797,1296,1,TL_22_단일(1296)
816,114,리포덱스정 600mg (수출용),816,216,1,TL_22_단일(216)
817,115,리포덱스정 450mg (수출용),817,1296,1,TL_1_단일(1296)
835,116,타라부틴정(트리메부틴말레산염)(수출명:뉴트리소젠정),835,1296,1,TL_1_단일(1296)
842,117,제일스파게린정(플라복세이트염산염),842,216,1,TL_22_단일(216)
858,118,환인이미프라민염산염정 25mg,858,1296,1,TL_22_단일(1296)
868,119,삼진히드랄라진염산염정,868,1296,1,TL_22_단일(1296)
897,120,오페릴50서방정(오르펜나드린시트르산염50밀리그람),897,1296,1,TL_22_단일(1296)
912,121,디스토시드정(프라지콴텔정)군납명:프라지콴텔정,912,1296,1,TL_1_단일(1296)
935,122,아나프록스정,935,216,1,TL_22_단일(216)
936,123,종근당아목시실린캡슐 500mg,936,324,1,TL_22_단일(324)
943,124,리자벤캡슐,943,324,1,TL_22_단일(324)
953,125,트리세프캡슐 500mg,953,324,1,TL_22_단일(324)
955,126,알타민캡슐 250mg,955,324,1,TL_22_단일(324)
1024,127,트리돌캡슐 50mg,1024,324,1,TL_22_단일(324)
1026,128,리팜핀정 600mg,1026,1296,1,TL_1_단일(1296)
1028,129,부루펜정 400mg,1028,1296,1,TL_1_단일(1296)
1031,130,엠코발캡슐,1031,324,1,TL_22_단일(324)
1059,131,부광이소맥지속성캡슐,1059,324,1,TL_22_단일(324)
1060,132,파자임-95밀리그램이중정,1060,1296,1,TL_1_단일(1296)
1094,133,아테놀정(아테놀올),1094,1296,1,TL_22_단일(1296)
1102,134,현대테노레틱정,1102,216,1,TL_22_단일(216)
1103,135,리나치올캡슐 500mg,1103,324,1,TL_22_단일(324)
1108,136,스락신정 25mg,1108,216,1,TL_22_단일(216)
1149,137,스코펜정400mg/PTP,1149,1296,1,TL_1_단일(1296)
1154,138,베노론캅셀(디오스민),1154,324,1,TL_22_단일(324)
1179,139,메녹틸정(옥틸로늄브롬화물),1179,432,1,TL_22_단일(432)
1329,140,크로낙정(클로닉신리시네이트),1329,1296,1,TL_1_단일(1296)
1330,141,알막틴정,1330,216,1,TL_22_단일(216)
1345,142,영풍다나졸200mg캡슐,1345,324,1,TL_22_단일(324)
1351,143,트라우밀정 15mg/병,1351,1296,1,TL_1_단일(1296)
1361,144,타가메트정 400mg,1361,216,1,TL_23_단일(216)
1362,145,타가메트정 200mg,1362,216,1,TL_23_단일(216)
1365,146,씨베리움캡슐(플루나리진염산염),1365,324,1,TL_23_단일(324)
1381,147,아로베스트정(아플로쿠알론)(비매품),1381,1296,1,TL_23_단일(1296)
1382,148,비타메진캡슐50mg,1382,324,1,TL_23_단일(324)
1395,149,시그마트정 5mg,1395,216,1,TL_23_단일(216)
1412,150,글루코닐정,1412,216,1,TL_23_단일(216)
1434,151,엠코발500마이크로그램캡슐,1434,324,1,TL_23_단일(324)
1437,152,소말겐정(탈니플루메이트),1437,1296,1,TL_1_단일(1296)
1445,153,명인페니토인정 100mg,1445,1296,1,TL_23_단일(1296)
1448,154,명인클로르프로마진염산염정 100mg,1448,1296,1,TL_23_단일(1296)
1449,155,명인할로페리돌정 10mg,1449,1296,1,TL_23_단일(1296)
1450,156,명인할로페리돌정 1.5mg,1450,1296,1,TL_1_단일(1296)
1451,157,명인피모짓정 4mg,1451,1296,1,TL_23_단일(1296)
1452,158,명인피모짓정 1mg,1452,1296,1,TL_23_단일(1296)
1453,159,명인페르페나진정 4mg,1453,216,1,TL_23_단일(216)
1456,160,명인할로페리돌정 3mg,1456,1296,1,TL_23_단일(1296)
1458,161,명인이미프라민염산염정,1458,1296,1,TL_23_단일(1296)
1459,162,명인벤즈트로핀메실산염정 2mg,1459,1296,1,TL_1_단일(1296)
1460,163,명인할로페리돌정 5mg,1460,1296,1,TL_23_단일(1296)
1461,164,스피로자이드정,1461,216,1,TL_23_단일(216)
1462,165,카마제핀정(카르바마제핀),1462,216,1,TL_23_단일(216)
1463,166,명인클로르프로마진염산염정 50mg,1463,1296,1,TL_1_단일(1296)
1515,167,오구멘틴정 375mg,1515,216,1,TL_23_단일(216)
1526,168,에세푸릴캡슐(니푸록사지드),1526,1296,1,TL_1_단일(1296)
1561,169,미노씬캡슐 50mg,1561,324,1,TL_23_단일(324)
1569,170,제텐씨정 61.76mg/병,1569,216,1,TL_23_단일(216)
1578,171,현대미녹시딜정,1578,1296,1,TL_23_단일(1296)
1587,172,명문메토카르바몰정,1587,216,1,TL_23_단일(216)
1611,173,신풍세프라딘캡슐,1611,324,1,TL_23_단일(324)
1614,174,헤르벤서방정 90mg,1614,1296,1,TL_1_단일(1296)
1627,175,동아가스터정 20mg,1627,1296,1,TL_23_단일(1296)
1629,176,릴렉시아정 250mg,1629,216,1,TL_23_단일(216)
1631,177,베스티딘정 20mg,1631,216,1,TL_23_단일(216)
1641,178,로테날정 50mg,1641,216,1,TL_23_단일(216)
1642,179,사미온정 10mg,1642,1296,1,TL_23_단일(1296)
1669,180,파목신캡슐 500mg,1669,324,1,TL_23_단일(324)
1672,181,삼아아토크정(포르모테롤푸마르산염수화물)(수출명:삼아포르모테롤푸마르산염수화물정),1672,1296,1,TL_23_단일(1296)
1675,182,칸택스정(말로틸레이트),1675,1296,1,TL_2_단일(1296)
1676,183,영진아테놀올정,1676,216,1,TL_23_단일(216)
1684,184,명인벤즈트로핀메실산염정 1mg,1684,1296,1,TL_23_단일(1296)
1706,185,에이티정,1706,216,1,TL_23_단일(216)
1714,186,부광켈론정(베탁솔롤염산염),1714,1296,1,TL_2_단일(1296)
1727,187,디크로닉정(클로닉신리시네이트),1727,1296,1,TL_2_단일(1296)
1730,188,대화와르파린나트륨정 5mg,1730,1296,1,TL_23_단일(1296)
1731,189,대화와르파린나트륨정,1731,1296,1,TL_2_단일(1296)
1738,190,에크로바정(아시클로버),1738,216,1,TL_23_단일(216)
1742,191,신일트리메부틴말레산염정(수출용),1742,1296,1,TL_2_단일(1296)
1743,192,"메디락에스장용캡슐(바실루스서브틸리스균,엔테로코쿠스페슘균배양물) ",1743,324,1,TL_23_단일(324)
1744,193,한미세프라딘500밀리그램캡슐,1744,324,1,TL_23_단일(324)
1754,194,아놀렉스정 50mg,1754,216,1,TL_23_단일(216)
1755,195,아졸정(독시라민석시네이트),1755,1296,1,TL_23_단일(1296)
1756,196,파메콘정 170mg/PTP,1756,216,1,TL_23_단일(216)
1759,197,라프렌연질캡슐50mg/병,1759,324,1,TL_23_단일(324)
1767,198,크라운로페라미드염산염캡슐,1767,324,1,TL_23_단일(324)
1768,199,노리스정,1768,216,1,TL_23_단일(216)
1770,200,가네카정 60mg/PTP (수출용),1770,1296,1,TL_23_단일(1296)
1773,201,명문니트로글리세린0.6밀리그램설하정,1773,1296,1,TL_23_단일(1296)
1781,202,토레스정,1781,216,1,TL_23_단일(216)
1792,203,명문글리코피롤레이트정(글리코피롤레이트),1792,216,1,TL_23_단일(216)
1802,204,레큐틴정(트리메부틴말레산염),1802,216,1,TL_23_단일(216)
1821,205,카멕스캡슐,1821,324,1,TL_24_단일(324)
1842,206,엘칸츄정(엘-카르니틴),1842,216,1,TL_24_단일(216)
1847,207,건일로딘정 200mg,1847,216,1,TL_24_단일(216)
1861,208,베아제정(수출용),1861,1296,1,TL_2_단일(1296)
1865,209,알마겔정(알마게이트)(수출명:유한가스트라겔정),1865,1833,2,"TL_2_단일(1296), TL_1_조합(537)"
1866,210,그랑페롤연질캡슐400IU/병,1866,324,1,TL_24_단일(324)
1871,211,자이드캡슐(니푸록사지드),1871,324,1,TL_24_단일(324)
1888,212,삼천당산화마그네슘정 250mg,1888,1296,1,TL_24_단일(1296)
1898,213,카프릴정 25mg,1898,1296,1,TL_24_단일(1296)
1899,214,보령부스파정 5mg,1899,1451,2,"TL_24_단일(1296), TL_1_조합(155)"
1900,215,보령부스파정 5mg,1900,1311,2,"TL_2_단일(1296), train_annotations(15)"
1903,216,아낙스정(나프록센나트륨),1903,216,1,TL_24_단일(216)
1905,217,카디아젬정 30mg,1905,1296,1,TL_2_단일(1296)
1907,218,환인벤즈트로핀정 1mg,1907,216,1,TL_24_단일(216)
1908,219,환인트라조돈염산염캡슐,1908,324,1,TL_24_단일(324)
2004,220,피케이멜즈정(아만타딘황산염),2004,1296,1,TL_2_단일(1296)
2020,221,트레스오릭스훠트정 0.75mg/PTP,2020,216,1,TL_24_단일(216)
2026,222,"메디락디에스장용캡슐(바실루스서브틸리스균,엔테로코쿠스페슘균배양물) ",2026,324,1,TL_24_단일(324)
2030,223,자비론정(독실아민석시네이트),2030,1296,1,TL_2_단일(1296)
2041,224,엘씨500연질캡슐 500mg,2041,324,1,TL_24_단일(324)
2048,225,크라운소브레롤캅셀,2048,1296,1,TL_2_단일(1296)
2051,226,디낙스정,2051,216,1,TL_24_단일(216)
2057,227,나르펜정 400mg,2057,216,1,TL_24_단일(216)
2073,228,젠텔정400mg/PTP,2073,1296,1,TL_2_단일(1296)
2090,229,암펙솔정,2090,216,1,TL_24_단일(216)
2147,230,셀벡스캡슐(테프레논),2147,324,1,TL_24_단일(324)
2158,231,에나프린정 10mg,2158,1296,1,TL_2_단일(1296)
2159,232,젤콤정 500mg/PTP,2159,1296,1,TL_2_단일(1296)
2168,233,베스타제포르테정 15mg/PTP,2168,1296,1,TL_2_단일(1296)
2176,234,한독바클로펜정 10mg,2176,216,1,TL_24_단일(216)
2185,235,타라부틴정 200mg,2185,1296,1,TL_2_단일(1296)
2207,236,케파신캡슐 500mg,2207,1296,1,TL_2_단일(1296)
2208,237,키목신캡슐 500mg,2208,324,1,TL_24_단일(324)
2209,238,그랑페롤연질캡슐1000IU/병,2209,324,1,TL_24_단일(324)
2219,239,암브렉트정,2219,216,1,TL_24_단일(216)
2232,240,록산캡슐,2232,324,1,TL_24_단일(324)
2235,241,루리드정(록시트로마이신),2235,216,1,TL_24_단일(216)
2239,242,이부펜정 400mg,2239,1296,1,TL_2_단일(1296)
2255,243,크록신정 250mg,2255,1296,1,TL_2_단일(1296)
2256,244,트리마정 200mg,2256,1296,1,TL_2_단일(1296)
2258,245,소부날캡슐 200mg,2258,324,1,TL_24_단일(324)
2264,246,사이톱신정(시프로플록사신염산염),2264,1296,1,TL_2_단일(1296)
2274,247,오스테민캡슐(결정글루코사민황산염),2274,1296,1,TL_2_단일(1296)
2280,248,푸로시놀정,2280,216,1,TL_24_단일(216)
2288,249,한국유나이티드메토트렉세이트정(수출용),2288,1296,1,TL_24_단일(1296)
2295,250,콜킨정(콜키신),2295,216,1,TL_24_단일(216)
2297,251,푸리네톤정(메르캅토푸린수화물)(수출용),2297,1296,1,TL_24_단일(1296)
2301,252,펙사딘캡슐,2301,324,1,TL_24_단일(324)
2481,253,뮤테란캡슐 200mg,2481,324,1,TL_24_단일(324)
2482,254,뮤테란캡슐 100mg,2482,549,2,"TL_24_단일(324), TL_1_조합(225)"
2483,255,뮤테란캡슐 100mg,2483,9,1,train_annotations(9)
2490,256,메리틴정,2490,216,1,TL_24_단일(216)
2491,257,후로스판정(플로로글루시놀수화물),2491,1296,1,TL_24_단일(1296)
2494,258,대화이부프로펜정 400mg,2494,1296,1,TL_2_단일(1296)
2512,259,암브로콜정,2512,216,1,TL_24_단일(216)
2518,260,가레오연질캡슐 500mg,2518,324,1,TL_24_단일(324)
2519,261,마로겔정 500mg,2519,216,1,TL_24_단일(216)
2520,262,가레오연질캡슐(디히드록시디부틸에텔),2520,324,1,TL_24_단일(324)
2535,263,스메르정(독시라민숙신산염),2535,1296,1,TL_2_단일(1296)
2536,264,알삭센정(나프록센나트륨),2536,1296,1,TL_2_단일(1296)
2538,265,명문아트로다캡슐(디아세레인),2538,1296,1,TL_2_단일(1296)
2540,266,다이놀정(에티트론산디나트륨),2540,1296,1,TL_24_단일(1296)
2591,267,베자립서방정,2591,216,1,TL_24_단일(216)
2592,268,에나프린정 5mg,2592,216,1,TL_24_단일(216)
2595,269,애드칼정,2595,1296,1,TL_2_단일(1296)
2613,270,동아슈프락스캡슐 100mg,2613,324,1,TL_24_단일(324)
2649,271,우루사정 200mg,2649,1296,1,TL_2_단일(1296)
2650,272,베아텍정 10mg,2650,216,1,TL_24_단일(216)
2653,273,유한세프라딘캡슐 250mg,2653,324,1,TL_24_단일(324)
2654,274,유한세프라딘캡슐 500mg,2654,324,1,TL_24_단일(324)
2671,275,대우아테놀올정,2671,216,1,TL_24_단일(216)
2672,276,크로부틴정,2672,216,1,TL_24_단일(216)
2679,277,트로돈캡슐,2679,324,1,TL_24_단일(324)
2687,278,록솔정,2687,216,1,TL_24_단일(216)
2690,279,아론정 25mg/PTP,2690,216,1,TL_24_단일(216)
2708,280,그로민캡슐 10mg,2708,324,1,TL_25_단일(324)
2710,281,폭센정 275mg,2710,216,1,TL_25_단일(216)
2721,282,뮤코스텐캡슐(아세틸시스테인),2721,324,1,TL_25_단일(324)
2744,283,알말정 10mg,2744,1296,1,TL_25_단일(1296)
2752,284,조이렉스정(아시클로버)(수출명:HerpexTabs.200mgZoylinTabs.),2752,1296,1,TL_2_단일(1296)
2753,285,바딜정(니코란딜),2753,1296,1,TL_25_단일(1296)
2806,286,영일염산암브록솔정,2806,216,1,TL_25_단일(216)
2821,287,싸이베린정 15mg/PTP,2821,1296,1,TL_25_단일(1296)
2823,288,신일이부프로펜정 400mg,2823,1296,1,TL_2_단일(1296)
2825,289,톨시렌연질캡슐 92.6mg/PTP,2825,324,1,TL_25_단일(324)
2826,290,신일트리메부틴말레산염정 200mg,2826,216,1,TL_25_단일(216)
2844,291,다이투스정,2844,216,1,TL_25_단일(216)
2856,292,옥시크로린정 100mg,2856,1296,1,TL_25_단일(1296)
2879,293,메프친정,2879,216,1,TL_25_단일(216)
2880,294,메프친정 25mcg,2880,216,1,TL_25_단일(216)
2882,295,한국얀센스포라녹스캡슐 (수출용),2882,324,1,TL_25_단일(324)
2895,296,일동아목시실린수화물캡슐 500mg,2895,324,1,TL_25_단일(324)
2896,297,바로코민정 50mg/PTP,2896,216,1,TL_25_단일(216)
2907,298,메바로친정 5mg,2907,216,1,TL_25_단일(216)
2913,299,시스타인캡슐(아세틸시스테인)(수출명:PHILCYSTAINE),2913,324,1,TL_25_단일(324)
2921,300,엑세그란정(조니사미드),2921,1296,1,TL_25_단일(1296)
2936,301,일동울굿캡슐(베넥세이트염산염베타덱스),2936,324,1,TL_25_단일(324)
2941,302,엘칸정 330mg,2941,1296,1,TL_2_단일(1296)
2942,303,싸이신정 250mg,2942,216,1,TL_25_단일(216)
2943,304,싸이신정 500mg,2943,1296,1,TL_2_단일(1296)
2949,305,알파본연질캡슐(알파칼시돌)(수출명:아파본연질캡슐),2949,324,1,TL_25_단일(324)
3009,306,티로파정(티로프라미드염산염),3009,216,1,TL_25_단일(216)
3015,307,유한스프렌딜지속정 5mg,3015,216,1,TL_25_단일(216)
3016,308,프로트린정(나트록센나트륨),3016,1296,1,TL_2_단일(1296)
3035,309,메녹틸정 40mg,3035,216,1,TL_25_단일(216)
3036,310,씨이멕스연질캡슐 500mg/병,3036,324,1,TL_25_단일(324)
3048,311,무노발정 5mg,3048,1296,1,TL_2_단일(1296)
3054,312,샤젠캡슐,3054,324,1,TL_25_단일(324)
3062,313,카마제핀씨알정 200mg,3062,216,1,TL_25_단일(216)
3077,314,뮤코스텐캡슐 100mg,3077,1296,1,TL_2_단일(1296)
3088,315,원알파정(알파칼시돌),3088,1296,1,TL_25_단일(1296)
3101,316,프렉스정(바크로펜),3101,1296,1,TL_2_단일(1296)
3103,317,씨록정,3103,216,1,TL_25_단일(216)
3104,318,오르필서방정 300mg,3104,1296,1,TL_2_단일(1296)
3105,319,부광아젭틴정(아젤라스틴염산염),3105,1296,1,TL_25_단일(1296)
3136,320,시로판정(시프로플록사신염산염수화물),3136,1296,1,TL_2_단일(1296)
3142,321,한미아테놀올정 50mg,3142,216,1,TL_25_단일(216)
3147,322,브레인지정 100mg/PTP,3147,216,1,TL_25_단일(216)
3151,323,복합엘씨500연질캡슐 250mg,3151,324,1,TL_25_단일(324)
3156,324,현대제스트릴정 10mg,3156,1296,1,TL_2_단일(1296)
3161,325,지엘파모티딘정 20mg,3161,216,1,TL_25_단일(216)
3172,326,자믹정(독시라민숙신산염),3172,216,1,TL_25_단일(216)
3182,327,프레탈정 50mg,3182,1296,1,TL_25_단일(1296)
3183,328,프레탈정 100mg,3183,1296,1,TL_25_단일(1296)
3211,329,종근당리마틸정,3211,216,1,TL_25_단일(216)
3224,330,이연니모디핀정,3224,1296,1,TL_2_단일(1296)
3243,331,일동올베탐캡슐,3243,324,1,TL_25_단일(324)
3244,332,일클러250mg캡슐(수출용),3244,324,1,TL_25_단일(324)
3246,333,에펙신정 100mg,3246,216,1,TL_25_단일(216)
3258,334,한올아푸록산정 300mg,3258,1296,1,TL_2_단일(1296)
3285,335,튜란트캡슐 200mg,3285,324,1,TL_25_단일(324)
3288,336,튜란트캡슐 100mg,3288,324,1,TL_25_단일(324)
3311,337,영진세파클러캡슐,3311,324,1,TL_25_단일(324)
3320,338,삼천당아테놀올정,3320,216,1,TL_25_단일(216)
3328,339,메카인정 25mg/PTP,3328,1296,1,TL_2_단일(1296)
3344,340,명인부스피론염산염정 5mg,3344,432,1,TL_25_단일(432)
3349,341,일양하이트린정 1mg,3349,1296,1,TL_25_단일(1296)
3350,342,일양하이트린정 2mg,3350,1296,1,TL_25_단일(1296)
3351,343,일양하이트린정 2mg,3351,153,1,train_annotations(153)
3353,344,스파맥정 500mg/PTP,3353,216,1,TL_25_단일(216)
3360,345,오구멘틴정 625mg,3360,1296,1,TL_2_단일(1296)
3363,346,마디핀정 10mg,3363,216,1,TL_26_단일(216)
3391,347,훌그램캡슐(클린다마이신염산염),3391,324,1,TL_26_단일(324)
3396,348,프렉스정 10mg,3396,1296,1,TL_26_단일(1296)
3397,349,프렉스정 5mg,3397,1296,1,TL_26_단일(1296)
3413,350,부광켈론정 10mg,3413,1296,1,TL_26_단일(1296)
3459,351,비씨메토카르바몰정,3459,216,1,TL_26_단일(216)
3475,352,크레닉정 125mg,3475,216,1,TL_26_단일(216)
3479,353,에크로바정 400mg,3479,216,1,TL_26_단일(216)
3482,354,기넥신에프정(은행엽엑스)(수출용),3482,1296,1,TL_2_단일(1296)
3483,355,기넥신에프정(은행엽엑스)(수출용),3483,45,1,train_annotations(45)
3486,356,다이야펜정 400mg,3486,216,1,TL_26_단일(216)
3489,357,오로신정 100mg,3489,216,1,TL_26_단일(216)
3490,358,크로세프캡슐250밀리그램,3490,324,1,TL_26_단일(324)
3495,359,말릭스정(말레인산트리메부틴),3495,216,1,TL_26_단일(216)
3498,360,포린피아정,3498,216,1,TL_26_단일(216)
3499,361,파비스암브록솔염산염정,3499,216,1,TL_26_단일(216)
3509,362,세록센정,3509,216,1,TL_26_단일(216)
3531,363,옥시크로린정 200mg,3531,1296,1,TL_2_단일(1296)
3543,364,무코스타정(레바미피드)(비매품),3543,1554,3,"TL_2_단일(1296), TL_3_조합(210), TL_1_조합(48)"
3544,365,무코스타정(레바미피드)(비매품),3544,6,1,train_annotations(6)
3575,366,크린세프캡슐,3575,324,1,TL_26_단일(324)
3605,367,종근당세파클러캡슐,3605,324,1,TL_26_단일(324)
3610,368,유니메톤정(나부메톤)(수출명:필유니메톤정),3610,1296,1,TL_2_단일(1296)
3613,369,동아오팔몬정(리마프로스트알파-시클로덱스트린포접화합물),3613,1938,2,"TL_26_단일(1296), TL_3_조합(642)"
3632,370,스피자임정 25mg/PTP,3632,216,1,TL_26_단일(216)
