json_path,file_name,image_id,bbox_idx,label_name,item_seq,drug_shape,img_w,img_h,x,y,w,h,area,rel_area,aspect,neg_coord,nonpos_wh,oob,nan_inf
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,36,0,레일라정,201201587,타원형,976,1280,505,816,397,269,106793,0.08548363857581967,1.4758364312267658,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,1228,0,보령부스파정 5mg,198700706,장방형,976,1280,642,856,208,167,34736,0.027804815573770493,1.2455089820359282,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,1230,0,보령부스파정 5mg,198700706,장방형,976,1280,133,245,192,156,29952,0.023975409836065574,1.2307692307692308,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,1229,0,보령부스파정 5mg,198700706,장방형,976,1280,151,255,199,157,31243,0.02500880507172131,1.267515923566879,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,1228,0,가바토파정 100mg,200500251,,976,1280,88,255,366,209,76494,0.06123046875,1.7511961722488039,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,1230,0,가바토파정 100mg,200500251,,976,1280,620,159,231,226,52206,0.041788870389344264,1.0221238938053097,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,1229,0,가바토파정 100mg,200500251,,976,1280,646,166,245,227,55615,0.044517642161885244,1.079295154185022,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,1228,0,스토가정 10mg,200607849,원형,976,1280,662,333,157,150,23550,0.018850858094262294,1.0466666666666666,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,1230,0,스토가정 10mg,200607849,원형,976,1280,140,787,160,157,25120,0.020107581967213115,1.019108280254777,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,1229,0,스토가정 10mg,200607849,원형,976,1280,171,821,159,155,24645,0.019727362961065573,1.0258064516129033,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,1228,0,신바로정,201401963,타원형,976,1280,88,255,366,209,76494,0.06123046875,1.7511961722488039,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,1230,0,신바로정,201401963,타원형,976,1280,519,791,381,209,79629,0.06373991419057377,1.8229665071770336,False,False,False,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,1229,0,신바로정,201401963,타원형,976,1280,550,838,373,198,73854,0.05911725153688525,1.8838383838383839,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,76,0,보령부스파정 5mg,198700706,장방형,976,1280,629,893,213,136,28968,0.023187756147540983,1.5661764705882353,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,77,0,보령부스파정 5mg,198700706,장방형,976,1280,142,242,198,127,25146,0.02012839395491803,1.5590551181102361,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,78,0,보령부스파정 5mg,198700706,장방형,976,1280,158,251,201,126,25326,0.02027247694672131,1.5952380952380953,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,76,0,가바토파정 100mg,200500251,,976,1280,108,847,242,238,57596,0.04610335553278688,1.0168067226890756,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,77,0,가바토파정 100mg,200500251,,976,1280,609,174,234,227,53118,0.04251889088114754,1.0308370044052864,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,78,0,가바토파정 100mg,200500251,,976,1280,639,180,238,227,54026,0.043245709528688524,1.0484581497797356,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,76,0,라비에트정 20mg,200708376,원형,976,1280,643,312,190,181,34390,0.027527856045081966,1.0497237569060773,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,77,0,라비에트정 20mg,200708376,원형,976,1280,125,775,195,189,36855,0.029500992571721313,1.0317460317460319,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,78,0,라비에트정 20mg,200708376,원형,976,1280,158,811,191,187,35717,0.02859006787909836,1.0213903743315509,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,76,0,울트라셋이알서방정,201006967,타원형,976,1280,145,144,261,456,119016,0.09526767418032787,0.5723684210526315,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,77,0,울트라셋이알서방정,201006967,타원형,976,1280,572,629,261,488,127368,0.101953125,0.5348360655737705,False,False,False,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,78,0,울트라셋이알서방정,201006967,타원형,976,1280,602,674,255,484,123420,0.09879290471311475,0.5268595041322314,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,1001,0,보령부스파정 5mg,198700706,장방형,976,1280,685,807,131,211,27641,0.02212554431352459,0.6208530805687204,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,1002,0,보령부스파정 5mg,198700706,장방형,976,1280,161,257,129,201,25929,0.020755154969262297,0.6417910447761194,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,1000,0,보령부스파정 5mg,198700706,장방형,976,1280,182,266,130,200,26000,0.020811987704918034,0.65,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,1001,0,가바토파정 100mg,200500251,,976,1280,125,813,239,239,57121,0.04572313652663934,1.0,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,1002,0,가바토파정 100mg,200500251,,976,1280,599,212,227,225,51075,0.04088354892418033,1.008888888888889,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,1000,0,가바토파정 100mg,200500251,,976,1280,623,220,237,226,53562,0.04287429559426229,1.0486725663716814,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,1001,0,놀텍정 10mg,200810688,타원형,976,1280,601,252,293,167,48931,0.039167360399590165,1.7544910179640718,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,1002,0,놀텍정 10mg,200810688,타원형,976,1280,59,856,305,169,51545,0.041259765625,1.8047337278106508,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,1000,0,놀텍정 10mg,200810688,타원형,976,1280,92,894,303,165,49995,0.040019050973360656,1.8363636363636364,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,1001,0,비모보정 500/20mg,201200417,타원형,976,1280,117,157,277,411,113847,0.09113009093237705,0.6739659367396593,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,1002,0,비모보정 500/20mg,201200417,타원형,976,1280,588,677,285,452,128820,0.10311539446721311,0.6305309734513275,False,False,False,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,1000,0,비모보정 500/20mg,201200417,타원형,976,1280,613,714,287,448,128576,0.10292008196721311,0.640625,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-001900\K-001900-016551-029345-033208_0_2_0_2_70_000_200.json,K-001900-016551-029345-033208_0_2_0_2_70_000_200.png,284,0,보령부스파정 5mg,198700706,장방형,976,1280,687,807,132,207,27324,0.021871798155737705,0.6376811594202898,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-001900\K-001900-016551-029345-033208_0_2_0_2_75_000_200.json,K-001900-016551-029345-033208_0_2_0_2_75_000_200.png,283,0,보령부스파정 5mg,198700706,장방형,976,1280,161,258,125,201,25125,0.020111584272540985,0.6218905472636815,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-001900\K-001900-016551-029345-033208_0_2_0_2_90_000_200.json,K-001900-016551-029345-033208_0_2_0_2_90_000_200.png,285,0,보령부스파정 5mg,198700706,장방형,976,1280,178,269,130,200,26000,0.020811987704918034,0.65,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-016551\K-001900-016551-029345-033208_0_2_0_2_70_000_200.json,K-001900-016551-029345-033208_0_2_0_2_70_000_200.png,284,0,동아가바펜틴정 800mg,200500254,타원형,976,1280,92,594,326,476,155176,0.12421234631147542,0.6848739495798319,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-016551\K-001900-016551-029345-033208_0_2_0_2_75_000_200.json,K-001900-016551-029345-033208_0_2_0_2_75_000_200.png,283,0,동아가바펜틴정 800mg,200500254,타원형,976,1280,549,171,310,454,140740,0.11265689036885246,0.6828193832599119,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-016551\K-001900-016551-029345-033208_0_2_0_2_90_000_200.json,K-001900-016551-029345-033208_0_2_0_2_90_000_200.png,285,0,동아가바펜틴정 800mg,200500254,타원형,976,1280,576,189,317,460,145820,0.1167232325819672,0.6891304347826087,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-029345\K-001900-016551-029345-033208_0_2_0_2_70_000_200.json,K-001900-016551-029345-033208_0_2_0_2_70_000_200.png,284,0,비모보정 500/20mg,201200417,타원형,976,1280,585,132,274,409,112066,0.08970446977459016,0.6699266503667481,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-029345\K-001900-016551-029345-033208_0_2_0_2_75_000_200.json,K-001900-016551-029345-033208_0_2_0_2_75_000_200.png,283,0,비모보정 500/20mg,201200417,타원형,976,1280,91,708,292,446,130232,0.10424564549180328,0.6547085201793722,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-029345\K-001900-016551-029345-033208_0_2_0_2_90_000_200.json,K-001900-016551-029345-033208_0_2_0_2_90_000_200.png,285,0,비모보정 500/20mg,201200417,타원형,976,1280,128,751,284,441,125244,0.10025294569672132,0.6439909297052154,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-033208\K-001900-016551-029345-033208_0_2_0_2_70_000_200.json,K-001900-016551-029345-033208_0_2_0_2_70_000_200.png,284,0,에스원엠프정 20mg,201402463,원형,976,1280,113,273,204,196,39984,0.03200563524590164,1.0408163265306123,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-033208\K-001900-016551-029345-033208_0_2_0_2_75_000_200.json,K-001900-016551-029345-033208_0_2_0_2_75_000_200.png,283,0,에스원엠프정 20mg,201402463,원형,976,1280,655,804,217,205,44485,0.03560851050204918,1.0585365853658537,False,False,False,False
data\train_annotations\K-001900-016551-029345-033208_json\K-033208\K-001900-016551-029345-033208_0_2_0_2_90_000_200.json,K-001900-016551-029345-033208_0_2_0_2_90_000_200.png,285,0,에스원엠프정 20mg,201402463,원형,976,1280,683,835,212,202,42824,0.03427894467213115,1.0495049504950495,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-002483\K-002483-003743-012778-013395_0_2_0_2_70_000_200.json,K-002483-003743-012778-013395_0_2_0_2_70_000_200.png,406,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,62,655,205,483,99015,0.07925765240778689,0.4244306418219462,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-002483\K-002483-003743-012778-013395_0_2_0_2_75_000_200.json,K-002483-003743-012778-013395_0_2_0_2_75_000_200.png,408,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,656,108,226,473,106898,0.08556768698770492,0.47780126849894294,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-002483\K-002483-003743-012778-013395_0_2_0_2_90_000_200.json,K-002483-003743-012778-013395_0_2_0_2_90_000_200.png,407,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,665,75,216,485,104760,0.0838563012295082,0.44536082474226807,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-003743\K-002483-003743-012778-013395_0_2_0_2_70_000_200.json,K-002483-003743-012778-013395_0_2_0_2_70_000_200.png,406,0,알드린정,199201106,원형,976,1280,486,118,310,305,94550,0.07568359375,1.0163934426229508,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-003743\K-002483-003743-012778-013395_0_2_0_2_75_000_200.json,K-002483-003743-012778-013395_0_2_0_2_75_000_200.png,408,0,알드린정,199201106,원형,976,1280,129,844,333,334,111222,0.0890288806352459,0.9970059880239521,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-003743\K-002483-003743-012778-013395_0_2_0_2_90_000_200.json,K-002483-003743-012778-013395_0_2_0_2_90_000_200.png,407,0,알드린정,199201106,원형,976,1280,128,833,322,323,104006,0.08325275358606557,0.9969040247678018,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-012778\K-002483-003743-012778-013395_0_2_0_2_70_000_200.json,K-002483-003743-012778-013395_0_2_0_2_70_000_200.png,406,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,506,606,301,518,155918,0.12480628842213115,0.581081081081081,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-012778\K-002483-003743-012778-013395_0_2_0_2_75_000_200.json,K-002483-003743-012778-013395_0_2_0_2_75_000_200.png,408,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,127,91,313,542,169646,0.13579501793032786,0.577490774907749,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-012778\K-002483-003743-012778-013395_0_2_0_2_90_000_200.json,K-002483-003743-012778-013395_0_2_0_2_90_000_200.png,407,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,126,74,314,525,164850,0.13195600665983606,0.5980952380952381,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-013395\K-002483-003743-012778-013395_0_2_0_2_70_000_200.json,K-002483-003743-012778-013395_0_2_0_2_70_000_200.png,406,0,써스펜8시간이알서방정 650mg,200301818,장방형,976,1280,75,88,233,480,111840,0.08952356557377049,0.48541666666666666,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-013395\K-002483-003743-012778-013395_0_2_0_2_75_000_200.json,K-002483-003743-012778-013395_0_2_0_2_75_000_200.png,408,0,써스펜8시간이알서방정 650mg,200301818,장방형,976,1280,643,672,251,515,129265,0.10347159964139344,0.487378640776699,False,False,False,False
data\train_annotations\K-002483-003743-012778-013395_json\K-013395\K-002483-003743-012778-013395_0_2_0_2_90_000_200.json,K-002483-003743-012778-013395_0_2_0_2_90_000_200.png,407,0,써스펜8시간이알서방정 650mg,200301818,장방형,976,1280,637,675,235,492,115620,0.09254930840163934,0.47764227642276424,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-002483\K-002483-012081-012778-025438_0_2_0_2_70_000_200.json,K-002483-012081-012778-025438_0_2_0_2_70_000_200.png,794,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,70,651,303,451,136653,0.10938540599385246,0.6718403547671841,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-002483\K-002483-012081-012778-025438_0_2_0_2_75_000_200.json,K-002483-012081-012778-025438_0_2_0_2_75_000_200.png,793,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,566,153,301,436,131236,0.10504930840163934,0.6903669724770642,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-002483\K-002483-012081-012778-025438_0_2_0_2_90_000_200.json,K-002483-012081-012778-025438_0_2_0_2_90_000_200.png,795,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,578,122,289,443,128027,0.10248062884221311,0.6523702031602708,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012081\K-002483-012081-012778-025438_0_2_0_2_70_000_200.json,K-002483-012081-012778-025438_0_2_0_2_70_000_200.png,794,0,리렉스펜정 300mg/PTP,200202194,장방형,976,1280,69,117,226,427,96502,0.07724609375,0.5292740046838408,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012081\K-002483-012081-012778-025438_0_2_0_2_75_000_200.json,K-002483-012081-012778-025438_0_2_0_2_75_000_200.png,793,0,리렉스펜정 300mg/PTP,200202194,장방형,976,1280,654,710,250,466,116500,0.09325371413934426,0.5364806866952789,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012081\K-002483-012081-012778-025438_0_2_0_2_90_000_200.json,K-002483-012081-012778-025438_0_2_0_2_90_000_200.png,795,0,리렉스펜정 300mg/PTP,200202194,장방형,976,1280,642,705,245,447,109515,0.08766249359631148,0.5480984340044742,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012778\K-002483-012081-012778-025438_0_2_0_2_70_000_200.json,K-002483-012081-012778-025438_0_2_0_2_70_000_200.png,794,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,543,641,325,512,166400,0.13319672131147542,0.634765625,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012778\K-002483-012081-012778-025438_0_2_0_2_75_000_200.json,K-002483-012081-012778-025438_0_2_0_2_75_000_200.png,793,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,98,88,306,508,155448,0.12443007172131147,0.6023622047244095,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-012778\K-002483-012081-012778-025438_0_2_0_2_90_000_200.json,K-002483-012081-012778-025438_0_2_0_2_90_000_200.png,795,0,다보타민큐정 10mg/병,200300416,타원형,976,1280,88,48,317,508,161036,0.1289030481557377,0.6240157480314961,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-025438\K-002483-012081-012778-025438_0_2_0_2_70_000_200.json,K-002483-012081-012778-025438_0_2_0_2_70_000_200.png,794,0,큐시드정 31.5mg/PTP,200902214,원형,976,1280,562,194,244,255,62220,0.0498046875,0.9568627450980393,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-025438\K-002483-012081-012778-025438_0_2_0_2_75_000_200.json,K-002483-012081-012778-025438_0_2_0_2_75_000_200.png,793,0,큐시드정 31.5mg/PTP,200902214,원형,976,1280,120,831,260,268,69680,0.05577612704918033,0.9701492537313433,False,False,False,False
data\train_annotations\K-002483-012081-012778-025438_json\K-025438\K-002483-012081-012778-025438_0_2_0_2_90_000_200.json,K-002483-012081-012778-025438_0_2_0_2_90_000_200.png,795,0,큐시드정 31.5mg/PTP,200902214,원형,976,1280,120,821,254,253,64262,0.05143922899590164,1.0039525691699605,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-002483\K-002483-019552-022362-025438_0_2_0_2_70_000_200.json,K-002483-019552-022362-025438_0_2_0_2_70_000_200.png,775,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,80,659,258,477,123066,0.09850954149590165,0.5408805031446541,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-002483\K-002483-019552-022362-025438_0_2_0_2_75_000_200.json,K-002483-019552-022362-025438_0_2_0_2_75_000_200.png,777,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,600,120,224,460,103040,0.08247950819672131,0.48695652173913045,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-002483\K-002483-019552-022362-025438_0_2_0_2_90_000_200.json,K-002483-019552-022362-025438_0_2_0_2_90_000_200.png,776,0,뮤테란캡슐 100mg,198801531,장방형,976,1280,604,83,241,476,114716,0.09182569159836065,0.5063025210084033,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-019552\K-002483-019552-022362-025438_0_2_0_2_70_000_200.json,K-002483-019552-022362-025438_0_2_0_2_70_000_200.png,775,0,트루비타정 60mg/병,200607734,타원형,976,1280,489,656,372,453,168516,0.1348904969262295,0.8211920529801324,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-019552\K-002483-019552-022362-025438_0_2_0_2_75_000_200.json,K-002483-019552-022362-025438_0_2_0_2_75_000_200.png,777,0,트루비타정 60mg/병,200607734,타원형,976,1280,98,131,361,449,162089,0.1297459336577869,0.8040089086859689,False,False,False,False
data\train_annotations\K-002483-019552-022362-025438_json\K-019552\K-002483-019552-022362-025438_0_2_0_2_90_000_200.json,K-002483-019552-022362-025438_0_2_0_2_90_000_200.png,776,0,트루비타정 60mg/병,200607734,타원형,976,1280,97,95,366,451,165066,0.13212890625,0.811529933481153,False,False,False,False
