json_path,file_name,width,height,image_id,drug_N,drug_S,item_seq,dl_idx,dl_mapping_code,dl_name,dl_company,dl_material,di_class_no,di_etc_otc_code,back_color,drug_dir,light_color,camera_la,camera_lo,size,drug_shape,dl_custom_shape,form_code_name,color_class1,color_class2,print_front,print_back,line_front,line_back,label_cids,label_names,n_ann_total,n_ann_bbox_exists,n_ann_bbox_valid,bboxes,label_cid,label_name,is_multilabel
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,976,1280,35,K-029451,정상알약,201201587,29451,K-029451,레일라정,(주)한국피엠지제약,당귀·모과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,75,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,LΛYLΛ,분할선,,-,[29451],['레일라정'],1,1,1,"[[471, 779, 407, 272]]",29451,레일라정,False
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,976,1280,36,K-029451,정상알약,201201587,29451,K-029451,레일라정,(주)한국피엠지제약,당귀·모과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,90,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,LΛYLΛ,분할선,,-,[29451],['레일라정'],1,1,1,"[[505, 816, 397, 269]]",29451,레일라정,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,976,1280,1228,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[642, 856, 208, 167]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,976,1280,1230,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[133, 245, 192, 156]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-001900\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,976,1280,1229,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[151, 255, 199, 157]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,976,1280,1228,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,70,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[88, 255, 366, 209]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,976,1280,1230,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,75,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[620, 159, 231, 226]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-016548\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,976,1280,1229,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,90,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[646, 166, 245, 227]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,976,1280,1228,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[662, 333, 157, 150]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,976,1280,1230,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[140, 787, 160, 157]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-019607\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,976,1280,1229,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[171, 821, 159, 155]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_70_000_200.json,K-001900-016548-019607-033009_0_2_0_2_70_000_200.png,976,1280,1228,K-033009,정상알약,201401963,33009,K-033009,신바로정,(주)녹십자,자오가·우슬·방풍·두충·구척·흑두건조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,70,0,200,타원형,"정제, 저작정",필름코팅정,갈색,,S300,,,,[33009],['신바로정'],1,1,1,"[[88, 255, 366, 209]]",33009,신바로정,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_75_000_200.json,K-001900-016548-019607-033009_0_2_0_2_75_000_200.png,976,1280,1230,K-033009,정상알약,201401963,33009,K-033009,신바로정,(주)녹십자,자오가·우슬·방풍·두충·구척·흑두건조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,75,0,200,타원형,"정제, 저작정",필름코팅정,갈색,,S300,,,,[33009],['신바로정'],1,1,1,"[[519, 791, 381, 209]]",33009,신바로정,False
data\train_annotations\K-001900-016548-019607-033009_json\K-033009\K-001900-016548-019607-033009_0_2_0_2_90_000_200.json,K-001900-016548-019607-033009_0_2_0_2_90_000_200.png,976,1280,1229,K-033009,정상알약,201401963,33009,K-033009,신바로정,(주)녹십자,자오가·우슬·방풍·두충·구척·흑두건조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,90,0,200,타원형,"정제, 저작정",필름코팅정,갈색,,S300,,,,[33009],['신바로정'],1,1,1,"[[550, 838, 373, 198]]",33009,신바로정,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,976,1280,76,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[629, 893, 213, 136]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,976,1280,77,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[142, 242, 198, 127]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-001900\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,976,1280,78,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[158, 251, 201, 126]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,976,1280,76,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,70,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[108, 847, 242, 238]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,976,1280,77,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,75,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[609, 174, 234, 227]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-016548\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,976,1280,78,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,90,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[639, 180, 238, 227]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,976,1280,76,K-021771,정상알약,200708376,21771,K-021771,라비에트정 20mg,일동제약(주),라베프라졸나트륨,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,원형,장용정제,장용성필름코팅정,노랑,,ID20,,,,[21771],['라비에트정 20mg'],1,1,1,"[[643, 312, 190, 181]]",21771,라비에트정 20mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,976,1280,77,K-021771,정상알약,200708376,21771,K-021771,라비에트정 20mg,일동제약(주),라베프라졸나트륨,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,원형,장용정제,장용성필름코팅정,노랑,,ID20,,,,[21771],['라비에트정 20mg'],1,1,1,"[[125, 775, 195, 189]]",21771,라비에트정 20mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-021771\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,976,1280,78,K-021771,정상알약,200708376,21771,K-021771,라비에트정 20mg,일동제약(주),라베프라졸나트륨,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,원형,장용정제,장용성필름코팅정,노랑,,ID20,,,,[21771],['라비에트정 20mg'],1,1,1,"[[158, 811, 191, 187]]",21771,라비에트정 20mg,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_70_000_200.json,K-001900-016548-021771-027926_0_2_0_2_70_000_200.png,976,1280,76,K-027926,정상알약,201006967,27926,K-027926,울트라셋이알서방정,(주)한국얀센,아세트아미노펜|트라마돌염산염,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,70,0,200,타원형,서방형정제,서방성필름코팅정,노랑,,T/A ER,,,,[27926],['울트라셋이알서방정'],1,1,1,"[[145, 144, 261, 456]]",27926,울트라셋이알서방정,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_75_000_200.json,K-001900-016548-021771-027926_0_2_0_2_75_000_200.png,976,1280,77,K-027926,정상알약,201006967,27926,K-027926,울트라셋이알서방정,(주)한국얀센,아세트아미노펜|트라마돌염산염,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,75,0,200,타원형,서방형정제,서방성필름코팅정,노랑,,T/A ER,,,,[27926],['울트라셋이알서방정'],1,1,1,"[[572, 629, 261, 488]]",27926,울트라셋이알서방정,False
data\train_annotations\K-001900-016548-021771-027926_json\K-027926\K-001900-016548-021771-027926_0_2_0_2_90_000_200.json,K-001900-016548-021771-027926_0_2_0_2_90_000_200.png,976,1280,78,K-027926,정상알약,201006967,27926,K-027926,울트라셋이알서방정,(주)한국얀센,아세트아미노펜|트라마돌염산염,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,90,0,200,타원형,서방형정제,서방성필름코팅정,노랑,,T/A ER,,,,[27926],['울트라셋이알서방정'],1,1,1,"[[602, 674, 255, 484]]",27926,울트라셋이알서방정,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,976,1280,1001,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[685, 807, 131, 211]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,976,1280,1002,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[161, 257, 129, 201]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-001900\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,976,1280,1000,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[182, 266, 130, 200]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,976,1280,1001,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,70,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[125, 813, 239, 239]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,976,1280,1002,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,75,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[599, 212, 227, 225]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-016548\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,976,1280,1000,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,90,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[623, 220, 237, 226]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,976,1280,1001,K-024850,정상알약,200810688,24850,K-024850,놀텍정 10mg,일양약품(주),일라프라졸,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,타원형,장용정제,장용성필름코팅정,주황,,Noltec 10,,,,[24850],['놀텍정 10mg'],1,1,1,"[[601, 252, 293, 167]]",24850,놀텍정 10mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,976,1280,1002,K-024850,정상알약,200810688,24850,K-024850,놀텍정 10mg,일양약품(주),일라프라졸,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,타원형,장용정제,장용성필름코팅정,주황,,Noltec 10,,,,[24850],['놀텍정 10mg'],1,1,1,"[[59, 856, 305, 169]]",24850,놀텍정 10mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-024850\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,976,1280,1000,K-024850,정상알약,200810688,24850,K-024850,놀텍정 10mg,일양약품(주),일라프라졸,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,타원형,장용정제,장용성필름코팅정,주황,,Noltec 10,,,,[24850],['놀텍정 10mg'],1,1,1,"[[92, 894, 303, 165]]",24850,놀텍정 10mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_70_000_200.json,K-001900-016548-024850-029345_0_2_0_2_70_000_200.png,976,1280,1001,K-029345,정상알약,201200417,29345,K-029345,비모보정 500/20mg,한국아스트라제네카(주),나프록센|에스오메프라졸마그네슘삼수화물,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,70,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,500/20,,,,[29345],['비모보정 500/20mg'],1,1,1,"[[117, 157, 277, 411]]",29345,비모보정 500/20mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_75_000_200.json,K-001900-016548-024850-029345_0_2_0_2_75_000_200.png,976,1280,1002,K-029345,정상알약,201200417,29345,K-029345,비모보정 500/20mg,한국아스트라제네카(주),나프록센|에스오메프라졸마그네슘삼수화물,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,75,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,500/20,,,,[29345],['비모보정 500/20mg'],1,1,1,"[[588, 677, 285, 452]]",29345,비모보정 500/20mg,False
data\train_annotations\K-001900-016548-024850-029345_json\K-029345\K-001900-016548-024850-029345_0_2_0_2_90_000_200.json,K-001900-016548-024850-029345_0_2_0_2_90_000_200.png,976,1280,1000,K-029345,정상알약,201200417,29345,K-029345,비모보정 500/20mg,한국아스트라제네카(주),나프록센|에스오메프라졸마그네슘삼수화물,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,90,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,500/20,,,,[29345],['비모보정 500/20mg'],1,1,1,"[[613, 714, 287, 448]]",29345,비모보정 500/20mg,False
data\train_annotations\K-001900-016551-029345-033208_json\K-001900\K-001900-016551-029345-033208_0_2_0_2_70_000_200.json,K-001900-016551-029345-033208_0_2_0_2_70_000_200.png,976,1280,284,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[687, 807, 132, 207]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016551-029345-033208_json\K-001900\K-001900-016551-029345-033208_0_2_0_2_75_000_200.json,K-001900-016551-029345-033208_0_2_0_2_75_000_200.png,976,1280,283,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[161, 258, 125, 201]]",1900,보령부스파정 5mg,False
